time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
18.5,34.5532940375,773.6549999999999,4.754327961617522,4.321271679159656,4.7692275351825115,1.0,1,0.1,10%
18.75,34.42293473125,785.0724999999999,4.768476182489792,4.338070541960649,4.845012384612638,1.0,1,0.1,10%
19.0,34.292575425,796.4899999999999,4.780389421556418,4.35285768383423,4.920333371705238,1.0,1,0.1,10%
19.25,34.16221611875,807.9074999999999,4.790524054089,4.366043502257762,4.995151425806621,1.0,1,0.1,10%
19.5,34.0318568125,819.3249999999999,4.799229150298475,4.377942017219687,5.069435522377088,1.0,1,0.1,10%
19.75,33.90149750625,830.7425,4.806771915360391,4.388793655841823,5.143160770665876,1.0,1,0.1,10%
20.0,33.7711382,842.16,4.813357095372992,4.398782648748516,5.216306966081626,1.0,1,0.1,10%
20.25,33.7678433640625,853.5775,4.8191417804908205,7.007516742513771,5.288857494240909,1.0,1,0.1,10%
20.5,33.76306766953125,865.038125,4.83918361503914,5.9354602354855635,4.905891875886892,1.0,1,0.1,10%
20.75,33.75680553710937,876.541875,4.869917692073967,4.447594473009188,4.714043467308768,1.0,1,0.1,10%
21.0,33.749051387499996,888.08875,4.9086240152834915,4.481977460279085,4.787950030645105,1.0,1,0.1,10%
21.25,33.6147232875,899.67875,4.953225459911579,4.521726771854338,4.862613177770876,1.0,1,0.1,10%
21.5,33.480395187499994,911.2687500000001,4.987166569528577,4.551728952197362,4.938125448180893,1.0,1,0.1,10%
21.75,33.346067087499996,922.8587500000001,5.012906035159694,4.574233834075295,5.014327031213855,1.0,1,0.1,10%
22.0,33.2117389875,934.4487500000001,5.032321854891682,4.590959550447479,5.091094666403625,1.0,1,0.1,10%
22.25,33.077410887499994,946.0387500000002,5.046848670029813,4.603218370240559,5.16833306968136,1.0,1,0.1,10%
22.5,32.943082787499996,957.6287500000002,5.057582618174342,5.2145968993050555,5.245968372144479,1.0,1,0.1,10%
22.75,32.8087546875,969.2187500000002,5.065361386227605,4.618108654343819,5.218490872946604,1.0,1,0.1,10%
23.0,32.674426587499994,980.8087500000003,5.070825329129894,4.62209151557287,5.296760101026266,1.0,1,0.1,10%
23.25,32.54009848749999,992.3987500000003,5.074464132722972,5.388479066118711,5.3752885183987456,1.0,1,0.1,10%
23.5,32.452,1003.9887500000003,5.076652439893327,4.625403399886974,5.320335905054491,1.0,1,0.1,10%
23.75,32.452,1015.5787500000004,5.077677050437375,4.625336950721396,5.399304487055603,1.0,1,0.1,10%
24.0,32.452,1027.1687500000003,5.077779791193251,4.624430533655726,5.478464004505899,1.0,1,0.1,10%
1.0,43.03,0.0,2.52,2.0916,2.0,1.0,1,0.2,20%
1.25,42.7985523875,10.7575,2.52,2.10839538,2.07497,1.0,1,0.2,20%
1.5,42.567104775000004,21.515,2.52983625,2.4385682675557296,2.1470008085,1.0,1,0.2,20%
1.75,42.335657162500006,32.2725,2.5469628946453122,2.164904452152595,2.162972705427747,1.0,1,0.2,20%
2.0,42.10420955,43.03,2.569445951794922,2.20113985610067,2.2298329328639728,1.0,1,0.2,20%
2.25,41.8727619375,53.7875,2.595816708856453,2.228708955075965,2.294286499610467,1.0,1,0.2,20%
2.5,41.641314324999996,64.545,2.6249602403543646,2.2587651620237286,2.3585303565220523,1.0,1,0.2,20%
2.75,41.4098667125,75.30250000000001,2.6560306329322194,2.290594903567202,2.422614495229914,1.0,1,0.2,20%
3.0,41.1784191,86.06,2.6883865196365995,2.3236549127751815,2.486565747868792,1.0,1,0.2,20%
3.25,40.9469714875,96.8175,2.7215420580997414,2.3610676890347997,2.55039377906954,1.0,1,0.2,20%
3.5,40.715523875,107.57499999999999,2.7551296528105063,2.6503134490291265,2.613476793655905,1.0,1,0.2,20%
3.75,40.484076262500004,118.33249999999998,2.7888716080061435,2.437423353302458,2.6318196293176466,1.0,1,0.2,20%
4.0,40.252628650000005,129.08999999999997,2.8225585717239703,2.475945556557695,2.6933230738907916,1.0,1,0.2,20%
4.25,40.172318428125,139.84749999999997,2.8560331440907625,2.537469779182307,2.75398035154489,1.0,1,0.2,20%
4.5,40.0893794640625,150.64562499999997,2.8985168196129494,2.6078535529421627,2.8097289404038697,1.0,1,0.2,20%
4.75,40.00380185546875,161.48437499999997,2.94784163315132,2.685426244889006,2.8605950120712573,1.0,1,0.2,20%
5.0,39.9155757,172.36374999999998,3.0023529531414956,2.7688929898581662,2.9065177050171624,1.0,1,0.2,20%
5.25,39.6770829,183.28374999999997,3.060785659782853,2.81253375207843,2.947373198591745,1.0,1,0.2,20%
5.5,39.4385901,194.20374999999996,3.1124457711937494,2.8495826073646957,2.990817282440019,1.0,1,0.2,20%
